ALPHA     CD       CL       CM       CN       CA       XCP        CLA          CMA          CYB          CNB          CLB
  -16.0     .018    -.036     .0054   -.040     .007    -.135    2.642E-03    4.600E-03   -2.642E-03   -9.567E-04    0.000E+00
   -8.0     .010    -.019     .0390   -.020     .007   -1.903    2.335E-03    4.415E-03   -2.335E-03   -9.181E-04    0.000E+00
   -6.0     .008    -.015     .0479   -.015     .007   -3.121    2.422E-03    4.501E-03   -2.422E-03   -9.361E-04    0.000E+00
   -4.0     .008    -.010     .0570   -.010     .007   -5.619    2.476E-03    4.555E-03   -2.476E-03   -9.473E-04    0.000E+00
   -2.0     .007    -.005     .0661   -.005     .007  -16.561    2.509E-03    4.587E-03   -2.509E-03   -9.539E-04    0.000E+00
     .0     .007     .000     .0753    .000     .007   16.224    2.519E-03    4.597E-03   -2.519E-03   -9.559E-04    0.000E+00
    2.0     .007     .005     .0845    .006     .007   14.885    2.882E-03    4.521E-03   -2.882E-03   -9.402E-04    0.000E+00
    4.0     .008     .012     .0934    .012     .007    7.509    4.329E-03    4.232E-03   -4.329E-03   -8.801E-04    0.000E+00
    8.0     .012     .038     .1086    .039     .007    2.766    8.594E-03    3.349E-03   -8.594E-03   -6.965E-04    0.000E+00
    9.0     .015     .047     .1118    .049     .007    2.295    9.618E-03    3.118E-03   -9.618E-03   -6.484E-04    0.000E+00
   10.0     .017     .057     .1148    .059     .007    1.938    1.059E-02    2.880E-03   -1.059E-02   -5.989E-04    0.000E+00
   12.0     .024     .080     .1201    .084     .007    1.438    1.244E-02    2.394E-03   -1.244E-02   -4.979E-04    0.000E+00
   14.0     .034     .107     .1244    .112     .007    1.111    1.415E-02    1.898E-03   -1.415E-02   -3.946E-04    0.000E+00
   16.0     .047     .137     .1277    .144     .007     .884    1.567E-02    1.392E-03   -1.567E-02   -2.895E-04    0.000E+00
   18.0     .063     .170     .1300    .181     .008     .719    1.702E-02    8.800E-04   -1.702E-02   -1.830E-04    0.000E+00
   19.0     .073     .187     .1307    .200     .008     .652    1.762E-02    6.221E-04   -1.762E-02   -1.294E-04    0.000E+00
   20.0     .083     .205     .1312    .221     .008     .594    1.815E-02    3.633E-04   -1.815E-02   -7.555E-05    0.000E+00
   21.0     .094     .223     .1315    .242     .008     .543    1.862E-02    1.040E-04   -1.862E-02   -2.162E-05    0.000E+00
   22.0     .107     .242     .1314    .264     .008     .497    1.903E-02   -1.554E-04   -1.903E-02    3.232E-05    0.000E+00
   24.0     .134     .281     .1306    .311     .008     .420    1.976E-02   -6.740E-04   -1.976E-02    1.402E-04    0.000E+00
