   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -16.000     0.000  -1.243906   0.089663   0.013205   0.102869  -0.000000   0.000000   0.741041   0.000000   0.000000   49.9000     6.8981
  -14.000     0.000  -1.090889   0.068913   0.011349   0.080262  -0.000000   0.000000   0.648742   0.000000   0.000000   49.9000     6.8523
  -12.000     0.000  -0.934425   0.050523   0.009951   0.060473  -0.000000   0.000000   0.552678   0.000000   0.000000   49.9000     6.8068
  -10.000     0.000  -0.774973   0.034722   0.008841   0.043563  -0.000000   0.000000   0.453135   0.000000   0.000000   49.9000     6.7590
   -8.000     0.000  -0.613013   0.021708   0.007845   0.029553  -0.000000   0.000000   0.350431   0.000000   0.000000   49.9000     6.7035
   -6.000     0.000  -0.449049   0.011646   0.006990   0.018636  -0.000000   0.000000   0.245295  -0.000000   0.000000   49.9000     6.6264
   -4.000     0.000  -0.283597   0.004664   0.006213   0.010877  -0.000000   0.000000   0.138412  -0.000000  -0.000000   49.9000     6.4817
   -2.000     0.000  -0.117189   0.000850   0.004881   0.005730  -0.000000  -0.000000   0.030159  -0.000000  -0.000000   49.9000     5.9610
    0.000     0.000   0.049640   0.000255   0.004506   0.004762   0.000000  -0.000000  -0.079041  -0.000000  -0.000000   49.9000     8.9025
    2.000     0.000   0.216346   0.002893   0.005391   0.008284  -0.000000  -0.000000  -0.188704   0.000000  -0.000000   49.9000     7.3117
    4.000     0.000   0.382389   0.008736   0.006960   0.015696  -0.000000  -0.000000  -0.298185  -0.000000  -0.000000   49.9000     7.1128
    6.000     0.000   0.547234   0.017716   0.007720   0.025436  -0.000000  -0.000000  -0.407151   0.000000  -0.000000   49.9000     7.0437
    8.000     0.000   0.710355   0.029730   0.008474   0.038204  -0.000000  -0.000000  -0.515046   0.000000   0.000000   49.9000     7.0170
   10.000     0.000   0.871239   0.044636   0.009456   0.054092  -0.000000  -0.000000  -0.621296   0.000000  -0.000000   49.9000     7.0113
   12.000     0.000   1.029392   0.062256   0.010740   0.072995  -0.000000  -0.000000  -0.725399   0.000000   0.000000   49.9000     7.0187
   14.000     0.000   1.184341   0.082378   0.012294   0.094672  -0.000000  -0.000000  -0.826920   0.000000   0.000000   49.9000     7.0357
   16.000     0.000   1.335639   0.104761   0.014284   0.119045  -0.000000  -0.000000  -0.925360  -0.000000  -0.000000   49.9000     7.0604
   18.000     0.000   1.482866   0.129133   0.017360   0.146493  -0.000000  -0.000000  -1.020373   0.000000   0.000000   49.9000     7.0918


